64: HR=0.7252, NDCG=0.4483
Epoch  254:      HR=0.6906, NDCG=0.4127
Epoch  255:      HR=0.6907, NDCG=0.4129
Epoch  256:      HR=0.6904, NDCG=0.4135

python mf_simple.py --data Data/ml-1m --epochs 256 --embedding_dim 32 --regularization 0.005 --negatives 8 --learning_rate 0.002 --stddev 0.1
Dataset: #user=6040, #item=3706, #train_pairs=994169, #test_pairs=6040
Epoch    0:      HR=0.0975, NDCG=0.0445
Epoch    1:      HR=0.4546, NDCG=0.2545
Epoch    2:      HR=0.4522, NDCG=0.2535
Epoch    3:      HR=0.4535, NDCG=0.2538
Epoch    4:      HR=0.4536, NDCG=0.2543
Epoch    5:      HR=0.4533, NDCG=0.2537
Epoch    6:      HR=0.4528, NDCG=0.2541
Epoch    7:      HR=0.4530, NDCG=0.2542
Epoch    8:      HR=0.4543, NDCG=0.2543
Epoch    9:      HR=0.4540, NDCG=0.2545
Epoch   10:      HR=0.4545, NDCG=0.2545
Epoch   11:      HR=0.4553, NDCG=0.2551
Epoch   12:      HR=0.4586, NDCG=0.2559
Epoch   13:      HR=0.4603, NDCG=0.2580
Epoch   14:      HR=0.4613, NDCG=0.2586
Epoch   15:      HR=0.4634, NDCG=0.2601
Epoch   16:      HR=0.4689, NDCG=0.2620
Epoch   17:      HR=0.4753, NDCG=0.2661
Epoch   18:      HR=0.4803, NDCG=0.2694
Epoch   19:      HR=0.4859, NDCG=0.2733
Epoch   20:      HR=0.4882, NDCG=0.2757
Epoch   21:      HR=0.4967, NDCG=0.2810
Epoch   22:      HR=0.5030, NDCG=0.2840
Epoch   23:      HR=0.5088, NDCG=0.2877
Epoch   24:      HR=0.5137, NDCG=0.2905
Epoch   25:      HR=0.5185, NDCG=0.2934
Epoch   26:      HR=0.5253, NDCG=0.2962
Epoch   27:      HR=0.5303, NDCG=0.2997
Epoch   28:      HR=0.5358, NDCG=0.3032
Epoch   29:      HR=0.5440, NDCG=0.3070
Epoch   30:      HR=0.5492, NDCG=0.3104
Epoch   31:      HR=0.5540, NDCG=0.3143
Epoch   32:      HR=0.5583, NDCG=0.3163
Epoch   33:      HR=0.5626, NDCG=0.3189
Epoch   34:      HR=0.5700, NDCG=0.3228
Epoch   35:      HR=0.5760, NDCG=0.3272
Epoch   36:      HR=0.5818, NDCG=0.3297
Epoch   37:      HR=0.5853, NDCG=0.3330
Epoch   38:      HR=0.5887, NDCG=0.3353
Epoch   39:      HR=0.5916, NDCG=0.3385
Epoch   40:      HR=0.5960, NDCG=0.3416
Epoch   41:      HR=0.6012, NDCG=0.3439
Epoch   42:      HR=0.6038, NDCG=0.3466
Epoch   43:      HR=0.6058, NDCG=0.3482
Epoch   44:      HR=0.6081, NDCG=0.3494
Epoch   45:      HR=0.6126, NDCG=0.3520
Epoch   46:      HR=0.6152, NDCG=0.3544
Epoch   47:      HR=0.6175, NDCG=0.3568
Epoch   48:      HR=0.6194, NDCG=0.3578
Epoch   49:      HR=0.6227, NDCG=0.3603
Epoch   50:      HR=0.6245, NDCG=0.3612
Epoch   51:      HR=0.6265, NDCG=0.3623
Epoch   52:      HR=0.6275, NDCG=0.3642
Epoch   53:      HR=0.6326, NDCG=0.3670
Epoch   54:      HR=0.6329, NDCG=0.3682
Epoch   55:      HR=0.6356, NDCG=0.3697
Epoch   56:      HR=0.6389, NDCG=0.3719
Epoch   57:      HR=0.6402, NDCG=0.3737
Epoch   58:      HR=0.6419, NDCG=0.3749
Epoch   59:      HR=0.6452, NDCG=0.3768
Epoch   60:      HR=0.6465, NDCG=0.3779
Epoch   61:      HR=0.6465, NDCG=0.3794
Epoch   62:      HR=0.6492, NDCG=0.3815
Epoch   63:      HR=0.6503, NDCG=0.3823
Epoch   64:      HR=0.6503, NDCG=0.3831
Epoch   65:      HR=0.6533, NDCG=0.3847
Epoch   66:      HR=0.6543, NDCG=0.3860
Epoch   67:      HR=0.6550, NDCG=0.3863
Epoch   68:      HR=0.6571, NDCG=0.3893
Epoch   69:      HR=0.6584, NDCG=0.3908
Epoch   70:      HR=0.6604, NDCG=0.3906
Epoch   71:      HR=0.6614, NDCG=0.3916
Epoch   72:      HR=0.6618, NDCG=0.3922
Epoch   73:      HR=0.6639, NDCG=0.3929
Epoch   74:      HR=0.6667, NDCG=0.3950
Epoch   75:      HR=0.6669, NDCG=0.3952
Epoch   76:      HR=0.6689, NDCG=0.3968
Epoch   77:      HR=0.6732, NDCG=0.3992
Epoch   78:      HR=0.6725, NDCG=0.3990
Epoch   79:      HR=0.6750, NDCG=0.4002
Epoch   80:      HR=0.6758, NDCG=0.4009
Epoch   81:      HR=0.6755, NDCG=0.4005
Epoch   82:      HR=0.6740, NDCG=0.4011
Epoch   83:      HR=0.6763, NDCG=0.4019
Epoch   84:      HR=0.6765, NDCG=0.4019
Epoch   85:      HR=0.6785, NDCG=0.4031
Epoch   86:      HR=0.6791, NDCG=0.4037
Epoch   87:      HR=0.6806, NDCG=0.4048
Epoch   88:      HR=0.6806, NDCG=0.4053
Epoch   89:      HR=0.6810, NDCG=0.4053
Epoch   90:      HR=0.6833, NDCG=0.4075
Epoch   91:      HR=0.6826, NDCG=0.4082
Epoch   92:      HR=0.6846, NDCG=0.4085
Epoch   93:      HR=0.6861, NDCG=0.4109
Epoch   94:      HR=0.6868, NDCG=0.4109
Epoch   95:      HR=0.6869, NDCG=0.4117
Epoch   96:      HR=0.6879, NDCG=0.4123
Epoch   97:      HR=0.6882, NDCG=0.4128
Epoch   98:      HR=0.6876, NDCG=0.4131
Epoch   99:      HR=0.6901, NDCG=0.4139
Epoch  100:      HR=0.6906, NDCG=0.4141
Epoch  101:      HR=0.6925, NDCG=0.4157
Epoch  102:      HR=0.6930, NDCG=0.4155
Epoch  103:      HR=0.6917, NDCG=0.4149
Epoch  104:      HR=0.6930, NDCG=0.4164
Epoch  105:      HR=0.6934, NDCG=0.4167
Epoch  106:      HR=0.6934, NDCG=0.4173
Epoch  107:      HR=0.6952, NDCG=0.4181
Epoch  108:      HR=0.6949, NDCG=0.4171
Epoch  109:      HR=0.6947, NDCG=0.4175
Epoch  110:      HR=0.6954, NDCG=0.4185
Epoch  111:      HR=0.6942, NDCG=0.4187
Epoch  112:      HR=0.6955, NDCG=0.4187
Epoch  113:      HR=0.6972, NDCG=0.4197
Epoch  114:      HR=0.6960, NDCG=0.4193
Epoch  115:      HR=0.6965, NDCG=0.4198
Epoch  116:      HR=0.6965, NDCG=0.4202
Epoch  117:      HR=0.6985, NDCG=0.4211
Epoch  118:      HR=0.6970, NDCG=0.4212
Epoch  119:      HR=0.6982, NDCG=0.4211
Epoch  120:      HR=0.6990, NDCG=0.4225
Epoch  121:      HR=0.6974, NDCG=0.4225
Epoch  122:      HR=0.6978, NDCG=0.4222
Epoch  123:      HR=0.6982, NDCG=0.4230
Epoch  124:      HR=0.6967, NDCG=0.4221
Epoch  125:      HR=0.6983, NDCG=0.4228
Epoch  126:      HR=0.6983, NDCG=0.4227
Epoch  127:      HR=0.7007, NDCG=0.4235
Epoch  128:      HR=0.6998, NDCG=0.4237
Epoch  129:      HR=0.7018, NDCG=0.4247
Epoch  130:      HR=0.7022, NDCG=0.4252
Epoch  131:      HR=0.7008, NDCG=0.4242
Epoch  132:      HR=0.7022, NDCG=0.4256
Epoch  133:      HR=0.7003, NDCG=0.4248
Epoch  134:      HR=0.7022, NDCG=0.4258
Epoch  135:      HR=0.7041, NDCG=0.4258
Epoch  136:      HR=0.7041, NDCG=0.4263
Epoch  137:      HR=0.7041, NDCG=0.4275
Epoch  138:      HR=0.7030, NDCG=0.4266
Epoch  139:      HR=0.7058, NDCG=0.4285
Epoch  140:      HR=0.7056, NDCG=0.4278
Epoch  141:      HR=0.7046, NDCG=0.4281
Epoch  142:      HR=0.7048, NDCG=0.4281
Epoch  143:      HR=0.7055, NDCG=0.4286
Epoch  144:      HR=0.7058, NDCG=0.4288
Epoch  145:      HR=0.7060, NDCG=0.4289
Epoch  146:      HR=0.7066, NDCG=0.4293
Epoch  147:      HR=0.7056, NDCG=0.4283
Epoch  148:      HR=0.7055, NDCG=0.4288
Epoch  149:      HR=0.7061, NDCG=0.4283
Epoch  150:      HR=0.7060, NDCG=0.4290
Epoch  151:      HR=0.7065, NDCG=0.4292
Epoch  152:      HR=0.7081, NDCG=0.4291
Epoch  153:      HR=0.7063, NDCG=0.4291
Epoch  154:      HR=0.7063, NDCG=0.4291
Epoch  155:      HR=0.7081, NDCG=0.4301
Epoch  156:      HR=0.7084, NDCG=0.4290
Epoch  157:      HR=0.7098, NDCG=0.4307
Epoch  158:      HR=0.7079, NDCG=0.4300
Epoch  159:      HR=0.7089, NDCG=0.4308
Epoch  160:      HR=0.7094, NDCG=0.4306
Epoch  161:      HR=0.7094, NDCG=0.4305
Epoch  162:      HR=0.7076, NDCG=0.4309
Epoch  163:      HR=0.7084, NDCG=0.4303
Epoch  164:      HR=0.7101, NDCG=0.4319
Epoch  165:      HR=0.7076, NDCG=0.4318
Epoch  166:      HR=0.7101, NDCG=0.4322
Epoch  167:      HR=0.7094, NDCG=0.4319
Epoch  168:      HR=0.7098, NDCG=0.4314
Epoch  169:      HR=0.7091, NDCG=0.4307
Epoch  170:      HR=0.7106, NDCG=0.4323
Epoch  171:      HR=0.7091, NDCG=0.4319
Epoch  172:      HR=0.7096, NDCG=0.4320
Epoch  173:      HR=0.7094, NDCG=0.4327
Epoch  174:      HR=0.7083, NDCG=0.4327
Epoch  175:      HR=0.7076, NDCG=0.4320
Epoch  176:      HR=0.7084, NDCG=0.4321
Epoch  177:      HR=0.7089, NDCG=0.4319
Epoch  178:      HR=0.7099, NDCG=0.4331
Epoch  179:      HR=0.7104, NDCG=0.4332
Epoch  180:      HR=0.7106, NDCG=0.4329
Epoch  181:      HR=0.7124, NDCG=0.4332
Epoch  182:      HR=0.7123, NDCG=0.4341
Epoch  183:      HR=0.7121, NDCG=0.4332
Epoch  184:      HR=0.7114, NDCG=0.4336
Epoch  185:      HR=0.7116, NDCG=0.4335
Epoch  186:      HR=0.7108, NDCG=0.4339
Epoch  187:      HR=0.7132, NDCG=0.4342
Epoch  188:      HR=0.7121, NDCG=0.4339
Epoch  189:      HR=0.7127, NDCG=0.4341
Epoch  190:      HR=0.7116, NDCG=0.4343
Epoch  191:      HR=0.7106, NDCG=0.4338
Epoch  192:      HR=0.7114, NDCG=0.4337
Epoch  193:      HR=0.7124, NDCG=0.4337
Epoch  194:      HR=0.7146, NDCG=0.4348
Epoch  195:      HR=0.7139, NDCG=0.4344
Epoch  196:      HR=0.7131, NDCG=0.4344
Epoch  197:      HR=0.7126, NDCG=0.4344
Epoch  198:      HR=0.7127, NDCG=0.4344
Epoch  199:      HR=0.7124, NDCG=0.4334
Epoch  200:      HR=0.7137, NDCG=0.4345
Epoch  201:      HR=0.7126, NDCG=0.4343
Epoch  202:      HR=0.7126, NDCG=0.4335
Epoch  203:      HR=0.7152, NDCG=0.4348
Epoch  204:      HR=0.7124, NDCG=0.4353
Epoch  205:      HR=0.7114, NDCG=0.4340
Epoch  206:      HR=0.7114, NDCG=0.4349
Epoch  207:      HR=0.7113, NDCG=0.4340
Epoch  208:      HR=0.7116, NDCG=0.4342
Epoch  209:      HR=0.7114, NDCG=0.4345
Epoch  210:      HR=0.7118, NDCG=0.4336
Epoch  211:      HR=0.7104, NDCG=0.4342
Epoch  212:      HR=0.7111, NDCG=0.4343
Epoch  213:      HR=0.7121, NDCG=0.4349
Epoch  214:      HR=0.7137, NDCG=0.4355
Epoch  215:      HR=0.7118, NDCG=0.4345
Epoch  216:      HR=0.7142, NDCG=0.4348
Epoch  217:      HR=0.7126, NDCG=0.4350
Epoch  218:      HR=0.7113, NDCG=0.4346
Epoch  219:      HR=0.7127, NDCG=0.4344
Epoch  220:      HR=0.7132, NDCG=0.4356
Epoch  221:      HR=0.7131, NDCG=0.4348
Epoch  222:      HR=0.7132, NDCG=0.4362
Epoch  223:      HR=0.7131, NDCG=0.4345
Epoch  224:      HR=0.7137, NDCG=0.4360
Epoch  225:      HR=0.7126, NDCG=0.4354
Epoch  226:      HR=0.7121, NDCG=0.4353
